102.024  35   57.6524 : Req(mm), Rbp(mm), L(mm)
1300      1 : Freq(MHz), mode
 1.     16 : delta(mm), m
42.49       42.50       0 : A1(mm), A2(mm), nA
35.51       35.52       0 : B1(mm), B2(mm), nB
12.13       12.14       0: a1(mm), a2(mm), na
19.67        19.69      2 : b1(mm), b2(mm), nb    
0.00      30.00  -1 : l1(mm), l2(mm), nl
1.e-7     100        60: delta freq, f_iter, n_l
0        : r - reentrant 1.0 or no - 1.0 
28.5  28.5    1 : x_begin(mm), x_end(mm), automatic                 beta should be given in the dtr file.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  A          B            a           b           l           Req        Freq        h               rh          zh          e              re          ze         Q          Rsh        ee              he              it  RE alpha    beta        
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
 42.480 35.500 12.120 19.670 22.836 102.029 1300.000 0.970242 82.490 37.944 1.000201 38.165 51.059 28826 1.657397 2.000401 40.750169 5 -1 100.039945 1
 42.490 35.500 12.120 19.670 22.806 102.024 1300.000 0.970142 82.469 37.963 1.000267 38.168 51.056 28827 1.657572 2.000534 40.745980 3 -1 100.017474 1
 42.500 35.500 12.120 19.670 22.775 102.020 1300.000 0.970043 82.448 37.982 1.000333 38.171 51.053 28828 1.657747 2.000666 40.741811 5 -1 99.994962 1

 42.490 35.500 12.120 19.670 22.806 102.024 1300.000 0.970142 82.469 37.963 1.000267 38.168 51.056 28827 1.657572 2.000534 40.745980 3 -1 100.017474 1
 42.490 35.510 12.120 19.670 22.804 102.026 1300.000 0.970155 82.494 37.946 1.000256 38.168 51.057 28827 1.657543 2.000513 40.746535 4 -1 100.020415 1
 42.490 35.520 12.120 19.670 22.801 102.028 1300.000 0.970169 82.519 37.929 1.000246 38.167 51.057 28827 1.657514 2.000491 40.747098 5 -1 100.023366 1

 42.490 35.510 12.120 19.670 22.804 102.026 1300.000 0.970155 82.494 37.946 1.000256 38.168 51.057 28827 1.657543 2.000513 40.746535 4 -1 100.020415 1
 42.490 35.510 12.130 19.670 22.771 102.023 1300.000 0.970177 82.464 37.962 0.999965 38.234 50.989 28825 1.657539 1.999931 40.747415 4 -1 99.998010 1
 42.490 35.510 12.140 19.670 22.739 102.020 1300.000 0.970198 82.434 37.978 0.999678 38.238 50.980 28822 1.657535 1.999356 40.748313 4 -1 99.975558 1

 42.490 35.510 12.130 19.670 22.771 102.023 1300.000 0.970177 82.464 37.962 0.999965 38.234 50.989 28825 1.657539 1.999931 40.747415 4 -1 99.998010 1
 42.490 35.510 12.130 19.680 22.770 102.024 1300.000 0.970179 82.469 37.959 0.999980 38.228 50.996 28825 1.657523 1.999960 40.747503 4 -1 100.000893 1
 42.490 35.510 12.130 19.690 22.769 102.024 1300.000 0.970180 82.474 37.957 0.999995 38.198 51.026 28825 1.657506 1.999991 40.747577 3 -1 100.003779 1

