110.420   35   40.357 : Req(mm), Rbp(mm), L(mm)
1300.000      1 : Freq(MHz), mode
 1.     16 : delta(mm), m
19.218     19.228     0 : A1(mm), A2(mm), nA
35.60       35.61       0 : B1(mm), B2(mm), nB
20.807     20.817    0 : a1(mm), a2(mm), na
56.397     56.417    2 : b1(mm), b2(mm), nb    
0.00        30.00  -1 : l1(mm), l2(mm), nl
1.e-7     100        12 : delta freq, f_iter, n_l
-1        : r - reentrant 1.0 or no - 1.0 
28.5  28.5    1 : x_begin(mm), x_end(mm), automatic                 beta should be given in the dtr file.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  A          B            a           b           l           Req        Freq        h               rh          zh          e              re          ze         Q          Rsh        ee              he              it  RE alpha    beta        
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
 19.208 35.600 20.807 56.407 19.194 110.430 1300.000 1.647514 89.760 17.437 1.200011 46.365 27.832 16988 0.354461 2.400002 69.195044 6 -1 100.030291 0.7
 19.218 35.600 20.807 56.407 19.107 110.420 1300.000 1.647323 89.743 17.448 1.199994 46.379 27.825 16991 0.354561 2.399969 69.187016 4 -1 100.007695 0.7
 19.228 35.600 20.807 56.407 19.020 110.409 1300.000 1.647132 89.726 17.459 1.199977 46.392 27.818 16994 0.354661 2.399935 69.179008 6 -1 99.984968 0.7

 19.218 35.590 20.807 56.407 19.101 110.418 1300.000 1.647303 89.740 17.450 1.199992 46.380 27.824 16991 0.354575 2.399965 69.186199 6 -1 100.005109 0.7
 19.218 35.600 20.807 56.407 19.107 110.420 1300.000 1.647323 89.743 17.448 1.199994 46.379 27.825 16991 0.354561 2.399969 69.187016 4 -1 100.007695 0.7
 19.218 35.610 20.807 56.407 19.113 110.422 1300.000 1.647343 89.746 17.446 1.199996 46.377 27.826 16990 0.354547 2.399973 69.187842 5 -1 100.010277 0.7

 19.218 35.600 20.797 56.407 19.198 110.423 1300.000 1.647013 89.752 17.447 1.200423 35.002 40.193 16994 0.354662 2.400827 69.174010 6 -1 100.032362 0.7
 19.218 35.600 20.807 56.407 19.107 110.420 1300.000 1.647323 89.743 17.448 1.199994 46.379 27.825 16991 0.354561 2.399969 69.187016 4 -1 100.007695 0.7
 19.218 35.600 20.817 56.407 19.016 110.416 1300.000 1.647633 89.734 17.449 1.200046 46.402 27.808 16988 0.354460 2.400073 69.200052 6 -1 99.982885 0.7

 19.218 35.600 20.797 56.407 19.198 110.423 1300.000 1.647013 89.752 17.447 1.200423 35.002 40.193 16994 0.354662 2.400827 69.174010 6 -1 100.032362 0.7
 19.218 35.600 20.798 56.407 19.189 110.423 1300.000 1.647044 89.751 17.447 1.200357 35.002 40.193 16994 0.354652 2.400696 69.175317 5 -1 100.029902 0.7
 19.218 35.600 20.799 56.407 19.180 110.423 1300.000 1.647075 89.750 17.447 1.200292 35.002 40.193 16994 0.354642 2.400565 69.176599 5 -1 100.027441 0.7
 19.218 35.600 20.800 56.407 19.171 110.422 1300.000 1.647106 89.749 17.447 1.200226 35.002 40.193 16993 0.354632 2.400433 69.177910 5 -1 100.024978 0.7
 19.218 35.600 20.801 56.407 19.162 110.422 1300.000 1.647137 89.748 17.447 1.200160 35.002 40.193 16993 0.354622 2.400302 69.179209 6 -1 100.022511 0.7
 19.218 35.600 20.802 56.407 19.153 110.421 1300.000 1.647168 89.747 17.447 1.200094 35.002 40.193 16993 0.354612 2.400170 69.180506 5 -1 100.020046 0.7
 19.218 35.600 20.803 56.407 19.144 110.421 1300.000 1.647199 89.746 17.448 1.200029 35.002 40.193 16992 0.354602 2.400039 69.181808 5 -1 100.017577 0.7
 19.218 35.600 20.804 56.407 19.134 110.421 1300.000 1.647230 89.746 17.448 1.199979 46.372 27.830 16992 0.354592 2.399939 69.183110 4 -1 100.015105 0.7
 19.218 35.600 20.805 56.407 19.125 110.420 1300.000 1.647261 89.745 17.448 1.199984 46.374 27.828 16992 0.354581 2.399949 69.184417 4 -1 100.012635 0.7
 19.218 35.600 20.806 56.407 19.116 110.420 1300.000 1.647292 89.744 17.448 1.199989 46.377 27.827 16991 0.354571 2.399959 69.185710 2 -1 100.010168 0.7
 19.218 35.600 20.807 56.407 19.107 110.420 1300.000 1.647323 89.743 17.448 1.199994 46.379 27.825 16991 0.354561 2.399969 69.187016 4 -1 100.007695 0.7
 19.218 35.600 20.808 56.407 19.098 110.419 1300.000 1.647354 89.742 17.448 1.199999 46.381 27.823 16991 0.354551 2.399979 69.188313 4 -1 100.005220 0.7
 19.218 35.600 20.809 56.407 19.089 110.419 1300.000 1.647385 89.741 17.448 1.200004 46.383 27.822 16990 0.354541 2.399990 69.189611 4 -1 100.002748 0.7
 19.218 35.600 20.810 56.407 19.080 110.419 1300.000 1.647416 89.740 17.448 1.200010 46.386 27.820 16990 0.354531 2.400001 69.190924 5 -1 100.000264 0.7
 19.218 35.600 20.811 56.407 19.071 110.418 1300.000 1.647447 89.739 17.448 1.200015 46.388 27.818 16990 0.354521 2.400011 69.192237 5 -1 99.997785 0.7
 19.218 35.600 20.812 56.407 19.061 110.418 1300.000 1.647478 89.739 17.449 1.200020 46.391 27.816 16989 0.354511 2.400021 69.193534 5 -1 99.995302 0.7
 19.218 35.600 20.813 56.407 19.052 110.417 1300.000 1.647509 89.738 17.449 1.200025 46.393 27.815 16989 0.354501 2.400031 69.194841 5 -1 99.992823 0.7
 19.218 35.600 20.814 56.407 19.043 110.417 1300.000 1.647540 89.737 17.449 1.200030 46.395 27.813 16989 0.354490 2.400042 69.196143 5 -1 99.990339 0.7
 19.218 35.600 20.815 56.407 19.034 110.417 1300.000 1.647571 89.736 17.449 1.200036 46.397 27.811 16988 0.354480 2.400052 69.197453 5 -1 99.987853 0.7
 19.218 35.600 20.816 56.407 19.025 110.416 1300.000 1.647602 89.735 17.449 1.200041 46.400 27.809 16988 0.354470 2.400063 69.198748 5 -1 99.985367 0.7
 19.218 35.600 20.817 56.407 19.016 110.416 1300.000 1.647633 89.734 17.449 1.200046 46.402 27.808 16988 0.354460 2.400073 69.200052 6 -1 99.982885 0.7
